,hand,flowers,score,wind,dir,flowernum,pairs,pongs,kongs,halfchi,suites missing
27,"['tong2', 'tong5', 'tong6', 'tong7', 'tong7', 'tong8', 'tiao4', 'tiao6', 'tiao8', 'wan7', 'wan9', 'wan9', 'hz']",[],12,2,1,0,2,0,0,7,0
28,"['tong6', 'tong7', 'tiao6', 'tiao7', 'tiao8', 'tiao8', 'tiao9', 'wan1', 'wan1', 'wan7', 'dong', 'nan', 'hz']",[],10,3,3,0,2,0,0,5,0
29,"['tong4', 'tiao4', 'tiao5', 'tiao6', 'tiao7', 'tiao7', 'wan2', 'wan2', 'wan9', 'nan', 'xi', 'hz', 'bb']",['flower4'],8,4,2,1,2,0,0,3,0
30,"['tong4', 'tong6', 'tong9', 'tiao3', 'tiao5', 'wan2', 'wan3', 'wan3', 'wan6', 'wan8', 'dong', 'fc', 'fc']",['flower4'],9,2,1,1,2,0,0,4,0
31,"['tong5', 'tong6', 'tong8', 'tong8', 'tiao2', 'tiao3', 'tiao5', 'tiao6', 'wan3', 'wan8', 'nan', 'xi', 'xi']",[],11,3,3,0,2,0,0,5,0
32,"['tong3', 'tong9', 'tiao1', 'tiao1', 'tiao4', 'tiao7', 'wan1', 'wan2', 'wan2', 'wan5', 'wan6', 'wan7', 'nan']",['flower4'],7,1,2,1,2,0,0,3,0
33,"['tong8', 'tiao1', 'tiao2', 'tiao3', 'tiao5', 'tiao8', 'tiao9', 'wan4', 'wan4', 'wan7', 'wan9', 'hz', 'fc']",['flower3'],7,1,1,1,1,0,0,5,0
34,"['tong6', 'tong7', 'tiao2', 'tiao3', 'tiao3', 'tiao9', 'tiao9', 'wan1', 'wan2', 'wan2', 'wan9', 'dong', 'dong']",['flower3'],12,4,4,1,4,0,0,3,0
35,"['tong3', 'tong4', 'tong5', 'tong6', 'tong7', 'tong8', 'tong8', 'tong9', 'tiao3', 'wan1', 'wan6', 'wan7', 'wan9']",[],12,3,2,0,1,0,0,9,0
36,"['tong1', 'tong3', 'tong3', 'tong7', 'tong9', 'tiao2', 'wan1', 'wan6', 'wan6', 'wan8', 'wan8', 'wan8', 'fc']",[],14,3,3,0,3,1,0,4,0
37,"['tong1', 'tong3', 'tong9', 'tiao2', 'tiao3', 'tiao5', 'tiao5', 'wan2', 'wan4', 'wan4', 'wan6', 'wan8', 'bb']",[],12,4,1,0,2,0,0,7,0
38,"['tong1', 'tong2', 'tong5', 'tiao3', 'tiao4', 'tiao7', 'wan1', 'wan3', 'wan4', 'wan4', 'wan8', 'wan9', 'fc']",['flower2'],8,2,4,1,1,0,0,5,0
39,"['tong2', 'tong5', 'tong6', 'tong8', 'tiao6', 'tiao6', 'tiao7', 'wan1', 'wan2', 'wan7', 'hz', 'fc', 'fc']",['flower4'],10,2,1,1,2,0,0,5,0
40,"['tong2', 'tong3', 'tong8', 'tiao2', 'tiao3', 'tiao4', 'wan5', 'wan6', 'wan8', 'wan9', 'bei', 'bei', 'hz']",['flower3'],9,4,1,1,1,0,0,6,0
41,"['tong3', 'tong4', 'tong9', 'tiao1', 'tiao3', 'tiao7', 'wan3', 'wan4', 'wan4', 'wan9', 'wan9', 'dong', 'bb']",[],8,1,1,0,2,0,0,3,0
42,"['tong2', 'tong4', 'tong5', 'tiao3', 'tiao4', 'tiao5', 'tiao9', 'wan1', 'wan3', 'wan5', 'wan5', 'wan7', 'bei']",[],11,4,3,0,1,0,0,8,0
43,"['tong3', 'tong3', 'tong5', 'tong6', 'tong6', 'tong7', 'tiao3', 'tiao4', 'wan1', 'wan1', 'wan4', 'wan7', 'hz']",[],13,3,2,0,3,0,0,6,0
44,"['tong6', 'tong9', 'tiao1', 'tiao2', 'tiao2', 'tiao7', 'wan1', 'wan1', 'wan2', 'wan5', 'nan', 'xi', 'bb']",[],8,1,3,0,2,0,0,3,0
45,"['tong1', 'tong2', 'tong4', 'tong6', 'tong9', 'tiao9', 'wan3', 'dong', 'dong', 'nan', 'nan', 'xi', 'fc']",[],10,2,1,0,2,0,0,3,0
46,"['tong2', 'tong6', 'tiao2', 'tiao4', 'tiao5', 'tiao6', 'tiao7', 'tiao8', 'wan1', 'wan2', 'wan2', 'wan6', 'wan8']",[],10,3,3,0,1,0,0,7,0
47,"['tong1', 'tong4', 'tong6', 'tong7', 'tiao8', 'wan1', 'wan2', 'wan3', 'wan4', 'wan7', 'wan9', 'dong', 'xi']",[],7,2,4,0,0,0,0,6,0
48,"['tong1', 'tong4', 'tong5', 'tong7', 'tong9', 'tiao2', 'tiao5', 'tiao7', 'tiao9', 'wan6', 'dong', 'bei', 'bb']","['flower3', 'flower4']",5,1,2,2,0,0,0,5,0
49,"['tong9', 'tiao2', 'tiao2', 'tiao7', 'wan6', 'wan7', 'wan7', 'wan9', 'wan9', 'dong', 'bei', 'hz', 'bb']",[],10,3,4,0,3,0,0,3,0
50,"['tiao1', 'tiao1', 'tiao5', 'tiao7', 'tiao8', 'wan3', 'wan4', 'wan4', 'wan6', 'dong', 'nan', 'xi', 'fc']",[],14,2,2,0,2,0,0,5,1
51,"['tong2', 'tong8', 'tong9', 'wan2', 'wan6', 'wan7', 'wan8', 'wan9', 'dong', 'nan', 'xi', 'bei', 'bb']",['flower3'],9,3,1,1,0,0,0,4,1
52,"['tong1', 'tong2', 'tong7', 'tong8', 'tiao3', 'tiao3', 'tiao5', 'tiao8', 'wan5', 'wan8', 'dong', 'dong', 'bb']",['flower4'],10,1,4,1,2,0,0,4,0
53,"['tong6', 'tiao1', 'tiao5', 'tiao7', 'wan5', 'wan5', 'wan5', 'wan6', 'wan9', 'nan', 'bei', 'hz', 'fc']",[],10,4,3,0,1,1,0,4,0
54,"['tong2', 'tong4', 'tong7', 'tong7', 'tiao1', 'tiao1', 'tiao3', 'tiao5', 'wan2', 'wan4', 'wan8', 'nan', 'bei']",[],10,3,4,0,2,0,0,5,0
55,"['tong3', 'tong3', 'tong6', 'tong9', 'tiao2', 'tiao2', 'tiao9', 'wan1', 'wan3', 'wan6', 'wan8', 'wan9', 'nan']",[],8,1,2,0,2,0,0,3,0
56,"['tong5', 'tong6', 'tong6', 'tiao8', 'wan1', 'wan1', 'wan2', 'wan5', 'wan6', 'wan7', 'wan7', 'wan9', 'fc']",['flower2'],13,1,3,1,3,0,0,7,0
57,"['tong2', 'tong8', 'tong9', 'tiao5', 'tiao7', 'tiao9', 'wan3', 'wan3', 'wan7', 'wan8', 'wan9', 'bb', 'fc']",['flower3'],8,3,2,1,1,0,0,5,0
58,"['tong3', 'tong3', 'tong4', 'tong7', 'tiao9', 'wan3', 'wan4', 'wan5', 'wan7', 'bei', 'bb', 'fc', 'fc']",[],11,1,3,0,2,0,0,5,0
59,"['tong6', 'tong6', 'tong8', 'tong9', 'tiao3', 'tiao7', 'tiao7', 'tiao9', 'wan1', 'wan4', 'wan6', 'wan8', 'wan9']",['flower4'],13,4,2,1,2,0,0,8,0
60,"['tong2', 'tong3', 'tong8', 'tong8', 'tiao6', 'tiao7', 'tiao8', 'tiao9', 'wan3', 'wan5', 'wan7', 'wan8', 'bei']","['flower1', 'flower1', 'flower2']",11,2,2,3,1,0,0,7,0
61,"['tong4', 'tong6', 'tong6', 'tong8', 'tong8', 'tiao1', 'tiao1', 'tiao3', 'tiao8', 'wan2', 'wan5', 'hz', 'bb']",[],12,1,1,0,3,0,0,5,0
62,"['tong3', 'tong8', 'tiao1', 'tiao6', 'tiao6', 'wan2', 'wan4', 'wan7', 'wan9', 'dong', 'hz', 'hz', 'bb']",[],8,4,2,0,2,0,0,2,0
63,"['tong3', 'tong3', 'tiao5', 'tiao8', 'tiao8', 'wan1', 'wan3', 'wan3', 'wan4', 'wan6', 'bei', 'bei', 'fc']",['flower4'],13,2,2,1,4,0,0,4,0
64,"['tong2', 'tong3', 'tong4', 'tong7', 'tong9', 'tiao3', 'tiao4', 'tiao4', 'tiao5', 'tiao6', 'wan1', 'nan', 'hz']",['flower4'],10,3,4,1,1,0,0,7,0
65,"['tong3', 'tong5', 'tong6', 'tong7', 'tong8', 'tiao2', 'tiao7', 'tiao9', 'tiao9', 'wan3', 'wan5', 'wan5', 'wan6']","['flower1', 'flower4']",14,1,4,2,2,0,0,8,0
66,"['tong4', 'tong7', 'tong8', 'tong8', 'tong9', 'tiao7', 'tiao7', 'tiao8', 'wan2', 'wan3', 'wan3', 'wan5', 'hz']",[],15,1,1,0,3,0,0,8,0
67,"['tong4', 'tong6', 'tong7', 'tiao3', 'tiao5', 'wan1', 'wan3', 'wan5', 'wan6', 'wan8', 'bei', 'bei', 'fc']",['flower3'],12,3,3,1,1,0,0,7,0
68,"['tong3', 'tong3', 'tong5', 'tong6', 'tong8', 'tong9', 'tong9', 'tiao1', 'wan1', 'wan3', 'wan8', 'wan9', 'nan']",['flower1'],12,1,2,1,2,0,0,7,0
69,"['tong2', 'tong4', 'tong8', 'tiao2', 'tiao3', 'tiao4', 'wan4', 'wan6', 'wan6', 'dong', 'bei', 'bei', 'hz']",['flower2'],9,3,3,1,2,0,0,4,0
70,"['tong1', 'tong5', 'tong8', 'tong9', 'tiao1', 'tiao2', 'tiao3', 'tiao6', 'tiao8', 'tiao9', 'wan6', 'nan', 'bei']","['flower1', 'flower4']",5,2,2,2,0,0,0,5,0
71,"['tong2', 'tiao2', 'tiao4', 'tiao4', 'tiao5', 'tiao8', 'tiao9', 'wan2', 'wan7', 'nan', 'bei', 'hz', 'fc']",['flower1'],6,4,3,1,1,0,0,4,0
72,"['tong4', 'tong8', 'tiao1', 'tiao4', 'tiao6', 'tiao9', 'wan3', 'wan4', 'wan5', 'wan6', 'wan7', 'xi', 'fc']",[],6,2,1,0,0,0,0,5,0
73,"['tong5', 'tong5', 'tong7', 'tong7', 'tong7', 'tong8', 'tong9', 'tiao3', 'tiao6', 'wan3', 'wan8', 'nan', 'bei']",['flower1'],14,2,1,1,2,1,0,6,0
74,"['tong2', 'tong2', 'tong2', 'tong8', 'tiao1', 'tiao4', 'tiao6', 'wan4', 'wan6', 'wan6', 'wan6', 'bei', 'fc']",[],13,4,2,0,2,2,0,2,0
75,"['tong3', 'tong4', 'tong7', 'tiao3', 'tiao4', 'tiao7', 'wan1', 'wan3', 'wan3', 'wan4', 'wan4', 'nan', 'fc']",[],10,3,3,0,2,0,0,5,0
76,"['tong3', 'tong8', 'tong9', 'tong9', 'tiao2', 'tiao3', 'tiao3', 'tiao6', 'tiao9', 'wan1', 'wan4', 'bei', 'bb']",[],7,3,3,0,2,0,0,2,0
77,"['tong1', 'tong3', 'tong3', 'tong8', 'tong9', 'tiao8', 'tiao8', 'tiao8', 'wan2', 'wan6', 'nan', 'nan', 'xi']",[],13,2,1,0,3,1,0,2,0
78,"['tong3', 'tong5', 'tong6', 'tong7', 'tiao3', 'tiao4', 'tiao7', 'tiao8', 'tiao9', 'wan1', 'wan2', 'wan7', 'bei']",[],8,4,1,0,0,0,0,7,0
79,"['tong4', 'tong4', 'tong7', 'tong8', 'tong9', 'tiao5', 'wan2', 'wan8', 'wan8', 'nan', 'nan', 'hz', 'hz']",['flower1'],12,3,3,1,4,0,0,2,0
80,"['tiao3', 'tiao5', 'tiao9', 'tiao9', 'tiao9', 'wan2', 'wan4', 'wan5', 'wan6', 'wan7', 'wan8', 'bei', 'fc']",['flower4'],15,1,3,1,1,1,0,6,1
81,"['tong1', 'tong2', 'tong3', 'tong5', 'tong7', 'tiao6', 'tiao9', 'wan6', 'wan9', 'bei', 'bei', 'fc', 'fc']",['flower4'],10,3,3,1,2,0,0,4,0
82,"['tong1', 'tong4', 'tong8', 'tiao1', 'tiao1', 'tiao3', 'wan1', 'wan2', 'wan3', 'wan4', 'xi', 'xi', 'bei']",['flower4'],10,3,2,1,2,0,0,5,0
83,"['tong3', 'tong5', 'tiao1', 'tiao2', 'tiao4', 'tiao6', 'wan1', 'wan2', 'wan3', 'wan4', 'wan8', 'wan9', 'bb']",['flower2'],9,2,1,1,0,0,0,8,0
84,"['tong2', 'tong3', 'tong4', 'tiao4', 'tiao6', 'tiao7', 'tiao8', 'tiao8', 'wan1', 'wan3', 'wan4', 'wan4', 'dong']",['flower3'],11,2,1,1,2,0,0,7,0
85,"['tong5', 'tong6', 'tong8', 'tong8', 'tiao3', 'tiao4', 'tiao5', 'tiao8', 'wan1', 'wan3', 'wan6', 'wan7', 'bb']",['flower2'],8,3,3,1,1,0,0,6,0
86,"['tong2', 'tong2', 'tong3', 'tiao1', 'tiao7', 'tiao7', 'wan1', 'wan2', 'wan5', 'wan8', 'wan9', 'bei', 'hz']",['flower3'],9,2,3,1,2,0,0,4,0
87,"['tong4', 'tong4', 'tong7', 'tong8', 'tong9', 'tiao4', 'tiao5', 'wan1', 'wan6', 'wan7', 'wan9', 'xi', 'bei']",[],8,1,4,0,1,0,0,5,0
88,"['tong2', 'tong6', 'tong7', 'tong8', 'tiao1', 'tiao1', 'tiao3', 'tiao5', 'tiao6', 'wan5', 'wan7', 'wan7', 'hz']",[],12,3,3,0,2,0,0,7,0
89,"['tong1', 'tong2', 'tong4', 'tong9', 'tiao6', 'tiao7', 'tiao7', 'tiao9', 'nan', 'nan', 'xi', 'bei', 'hz']",['flower1'],14,2,4,1,2,0,0,5,1
90,"['tong3', 'tong3', 'tong4', 'tong6', 'tong7', 'tong8', 'tong9', 'tiao4', 'tiao5', 'tiao8', 'tiao8', 'tiao9', 'nan']",['flower4'],19,4,4,1,2,0,0,9,1
91,"['tong1', 'tong2', 'tong8', 'tiao1', 'tiao4', 'wan1', 'wan1', 'wan3', 'wan4', 'wan7', 'nan', 'xi', 'fc']",['flower3'],6,4,1,1,1,0,0,4,0
92,"['tong1', 'tong2', 'tong4', 'tong7', 'tiao4', 'tiao6', 'tiao7', 'tiao7', 'wan7', 'wan8', 'nan', 'nan', 'bei']",[],11,4,4,0,2,0,0,5,0
93,"['tong3', 'tong5', 'tong6', 'tiao2', 'tiao3', 'wan2', 'wan6', 'wan8', 'wan8', 'wan9', 'wan9', 'bei', 'fc']",[],11,3,1,0,2,0,0,6,0
94,"['tong5', 'tong6', 'tiao2', 'tiao4', 'tiao5', 'tiao6', 'wan1', 'wan4', 'wan9', 'nan', 'nan', 'bei', 'fc']",[],8,4,3,0,1,0,0,4,0
95,"['tong2', 'tong3', 'tiao2', 'tiao2', 'tiao3', 'tiao9', 'wan7', 'wan9', 'wan9', 'dong', 'nan', 'hz', 'hz']",['flower2'],11,3,3,1,3,0,0,4,0
96,"['tong1', 'tong4', 'tong8', 'tiao1', 'tiao1', 'tiao3', 'tiao4', 'tiao5', 'tiao5', 'wan2', 'wan4', 'wan4', 'bb']",[],12,3,4,0,3,0,0,5,0
97,"['tong1', 'tong1', 'tong2', 'tong4', 'tong8', 'tiao5', 'tiao5', 'tiao6', 'tiao9', 'wan2', 'wan2', 'dong', 'hz']",[],12,1,1,0,3,0,0,5,0
98,"['tong2', 'tong4', 'tong7', 'tiao1', 'tiao5', 'tiao8', 'wan2', 'wan5', 'wan7', 'wan7', 'wan9', 'bei', 'fc']",['flower2'],7,1,2,1,1,0,0,4,0
99,"['tong3', 'tong4', 'tiao3', 'tiao3', 'tiao3', 'tiao9', 'wan1', 'wan5', 'wan9', 'dong', 'nan', 'hz', 'hz']",[],10,2,4,0,2,1,0,1,0
100,"['tiao2', 'tiao3', 'tiao4', 'tiao4', 'tiao9', 'wan2', 'wan4', 'wan6', 'wan7', 'wan9', 'dong', 'bei', 'bb']",['flower2'],12,3,3,1,1,0,0,6,1
101,"['tong1', 'tong1', 'tong8', 'tong9', 'tong9', 'tiao1', 'tiao1', 'tiao1', 'tiao6', 'wan3', 'wan5', 'wan6', 'nan']",['flower1'],13,1,4,1,3,1,0,3,0
102,"['tong4', 'tong4', 'tong6', 'tong6', 'tiao3', 'tiao5', 'tiao6', 'tiao9', 'wan5', 'wan8', 'dong', 'bei', 'hz']",[],9,1,1,0,2,0,0,4,0
103,"['tong2', 'tong3', 'tong6', 'tiao1', 'tiao1', 'tiao2', 'tiao3', 'tiao4', 'tiao8', 'tiao8', 'wan4', 'wan4', 'nan']",[],12,4,4,0,3,0,0,5,0
104,"['tong2', 'tong4', 'tong8', 'tiao5', 'tiao6', 'tiao7', 'wan1', 'wan7', 'wan8', 'xi', 'bei', 'hz', 'fc']","['flower1', 'flower2']",5,4,2,2,0,0,0,4,0
105,"['tong2', 'tong3', 'tong5', 'tong8', 'tong8', 'tiao1', 'tiao3', 'tiao9', 'wan2', 'wan9', 'xi', 'bei', 'bei']",[],9,1,2,0,2,0,0,3,0
106,"['tong1', 'tong6', 'tong7', 'tiao1', 'tiao2', 'tiao4', 'tiao8', 'tiao8', 'wan2', 'wan3', 'wan3', 'wan7', 'wan7']",[],11,2,4,0,3,0,0,4,0
107,"['tong1', 'tong6', 'tong9', 'tiao1', 'tiao2', 'tiao3', 'tiao6', 'wan1', 'wan5', 'wan6', 'wan7', 'dong', 'bei']",['flower4'],4,3,1,1,0,0,0,4,0
108,"['tong1', 'tong6', 'tong6', 'tong7', 'tiao2', 'tiao5', 'tiao8', 'tiao8', 'wan1', 'wan5', 'hz', 'bb', 'fc']",[],7,2,3,0,2,0,0,2,0
109,"['tong2', 'tong4', 'tong6', 'tong8', 'tong8', 'tiao2', 'tiao4', 'wan2', 'wan3', 'wan6', 'nan', 'nan', 'hz']",['flower1'],10,4,3,1,2,0,0,5,0
110,"['tong4', 'tong5', 'tong6', 'tong7', 'tiao5', 'tiao7', 'tiao9', 'tiao9', 'wan6', 'wan7', 'wan8', 'nan', 'bb']",[],10,1,2,0,1,0,0,7,0
111,"['tong2', 'tong5', 'tong8', 'tiao2', 'tiao3', 'tiao7', 'tiao8', 'wan2', 'wan3', 'wan9', 'dong', 'nan', 'hz']","['flower2', 'flower3']",4,2,1,2,0,0,0,3,0
112,"['tong2', 'tong4', 'tiao1', 'tiao3', 'tiao4', 'tiao4', 'tiao7', 'tiao9', 'wan4', 'dong', 'xi', 'bei', 'fc']",[],7,4,3,0,1,0,0,4,0
113,"['tong2', 'tong3', 'tong4', 'tong6', 'tong8', 'tiao2', 'tiao3', 'tiao9', 'wan5', 'wan7', 'nan', 'hz', 'fc']","['flower1', 'flower2']",7,3,2,2,0,0,0,6,0
114,"['tong2', 'tong5', 'tiao2', 'tiao5', 'tiao8', 'wan5', 'wan8', 'wan8', 'xi', 'bei', 'bei', 'hz', 'bb']",[],6,2,4,0,2,0,0,0,0
115,"['tong1', 'tong4', 'tong6', 'tong9', 'tiao4', 'tiao7', 'tiao8', 'wan6', 'wan7', 'wan8', 'dong', 'nan', 'bb']",['flower2'],4,4,1,1,0,0,0,4,0
116,"['tong3', 'tong3', 'tong5', 'tong6', 'tong8', 'tiao1', 'tiao3', 'tiao3', 'tiao4', 'wan2', 'wan3', 'wan5', 'fc']",['flower1'],13,4,2,1,2,0,0,9,0
117,"['tong1', 'tong2', 'tong4', 'tiao2', 'tiao5', 'tiao8', 'wan6', 'wan7', 'wan9', 'wan9', 'nan', 'bb']","['flower2', 'flower3']",7,2,4,2,1,0,0,4,0
118,"['tong8', 'tong9', 'tong9', 'tiao1', 'tiao1', 'tiao2', 'wan5', 'wan5', 'wan8', 'dong', 'xi', 'bei', 'fc']","['flower1', 'flower4']",11,1,4,2,3,0,0,3,0
119,"['tong1', 'tong6', 'tong9', 'tiao2', 'tiao4', 'tiao5', 'tiao6', 'tiao7', 'tiao9', 'tiao9', 'wan1', 'bb', 'fc']","['flower1', 'flower4']",9,1,1,2,1,0,0,5,0
120,"['tong1', 'tong2', 'tong4', 'tong6', 'tiao1', 'tiao2', 'tiao5', 'tiao7', 'wan4', 'wan4', 'wan6', 'wan9', 'xi']",['flower2'],9,4,1,1,1,0,0,7,0
121,"['tong4', 'tong5', 'tong9', 'tiao2', 'tiao7', 'wan2', 'wan3', 'wan4', 'wan5', 'wan6', 'wan9', 'xi', 'bei']","['flower1', 'flower2']",6,3,2,2,0,0,0,5,0
122,"['tong1', 'tong3', 'tiao3', 'tiao8', 'tiao9', 'wan3', 'wan5', 'wan5', 'wan5', 'nan', 'nan', 'bei', 'bb']",['flower4'],11,2,3,1,2,1,0,3,0
123,"['tong1', 'tong2', 'tong2', 'tong5', 'tiao3', 'tiao8', 'wan1', 'wan2', 'wan3', 'wan6', 'wan8', 'nan', 'hz']",[],7,3,2,0,1,0,0,4,0
124,"['tong6', 'tong7', 'tong8', 'tiao2', 'tiao8', 'tiao9', 'wan1', 'wan2', 'wan4', 'wan4', 'wan8', 'bei', 'fc']",['flower4'],7,3,1,1,1,0,0,5,0
125,"['tong3', 'tong5', 'tong6', 'tong7', 'tiao3', 'tiao5', 'tiao6', 'tiao7', 'tiao8', 'wan3', 'wan3', 'wan9', 'fc']",['flower1'],9,3,2,1,1,0,0,7,0
126,"['tong2', 'tong6', 'tiao2', 'tiao2', 'tiao3', 'tiao3', 'tiao4', 'tiao6', 'tiao8', 'wan3', 'wan6', 'wan8', 'nan']",[],12,4,2,0,2,0,0,7,0
127,"['tong1', 'tong2', 'tong3', 'tiao1', 'tiao2', 'tiao2', 'tiao4', 'tiao5', 'wan7', 'wan8', 'wan9', 'nan', 'fc']",[],11,4,2,0,1,0,0,8,0
128,"['tong3', 'tong4', 'tong5', 'tong8', 'tong8', 'tiao2', 'tiao3', 'tiao4', 'tiao7', 'tiao9', 'wan7', 'dong', 'hz']",['flower4'],7,1,2,1,1,0,0,5,0
129,"['tong3', 'tong5', 'tong6', 'tong7', 'tong9', 'tiao2', 'tiao2', 'tiao4', 'wan1', 'wan2', 'wan3', 'wan4', 'wan5']","['flower3', 'flower4']",13,3,1,2,1,0,0,10,0
130,"['tong1', 'tong5', 'tong9', 'tiao2', 'tiao8', 'wan4', 'wan5', 'wan6', 'wan8', 'wan9', 'xi', 'bb', 'fc']",[],5,2,3,0,0,0,0,4,0
131,"['tong1', 'tong6', 'tong7', 'tong9', 'tiao1', 'tiao1', 'tiao1', 'tiao5', 'wan2', 'wan4', 'dong', 'nan', 'bei']",[],9,4,2,0,1,1,0,3,0
